Participant,TimeOfDay,TimeSinceStartOfExperiment,JumpNoJump,LeaningGamepad,Interface,TrialNo,PathID,LocationALongPath,TotalPointing,PointingCounterFromLocation,PointingPhase,Trivial,TargetID,Controller Position X,Controller Position Y,Controller Position Z,Target Position X,Target Position Y,Target Position Z,Target Yaw,Target Pitch, Pointing Yaw, Pointing Pitch,Signed Pointing Error Yaw, Signed Pointing Error Pitch,Absolute Pointing Error Yaw, Absolute Pointing Error Pitch,Pointing Time,Correct distance in 3D,Distance Estimate,Signed Distance Estimate Error,Absolute Distance Estimate Error
P01,2021-03-11 9:39:31 AM,7.233878,,,Controller,1,A,1,1,1,rapid1stPointing,Yes,bench (UnityEngine.AudioClip),-240.5159,10.79394,24.58331,-7.804039,6.22,-15.4706,350.234,-1.109688,76.19693,-4.282128,85.96289,3.17244,85.96289,3.17244,0.2149024,
P01,2021-03-11 9:39:33 AM,9.727352,,,Controller,1,A,1,2,2,rapid1stPointing,Yes,dumpster (UnityEngine.AudioClip),-240.6139,10.75042,24.53619,-7.804039,6.22,-15.4706,350.2494,-1.09872,92.63966,-9.866496,102.3903,8.767776,102.3903,8.767776,0.069729,
P01,2021-03-11 9:39:40 AM,16.15989,,,Controller,1,A,1,3,1,rapid2ndPointing,Yes,bench (UnityEngine.AudioClip),-240.3548,10.83343,24.38578,-7.804039,6.22,-15.4706,350.2747,-1.120179,45.89241,27.27835,55.61774,-28.39853,55.61774,28.39853,0.0272679,
P01,2021-03-11 9:39:41 AM,17.41334,,,Controller,1,A,1,4,1,distanceJudgmentAnd2ndPointing,Yes,bench (UnityEngine.AudioClip),-240.3402,10.7874,24.39718,-7.804039,6.22,-15.4706,350.2714,-1.109063,45.6945,10.08515,55.42316,-11.19422,55.42316,11.19422,1.281231,235.9732,5.789799,230.1834,230.1834
P01,2021-03-11 9:39:43 AM,19.04277,,,Controller,1,A,1,5,2,rapid2ndPointing,Yes,dumpster (UnityEngine.AudioClip),-240.3224,10.74912,24.39369,-7.804039,6.22,-15.4706,350.2715,-1.099854,41.13075,-3.951334,50.85928,2.85148,50.85928,2.85148,0.0148292,
P01,2021-03-11 9:39:43 AM,19.64279,,,Controller,1,A,1,6,2,distanceJudgmentAnd2ndPointing,Yes,dumpster (UnityEngine.AudioClip),-240.3215,10.75045,24.39412,-7.804039,6.22,-15.4706,350.2713,-1.100182,41.13325,-3.139601,50.86191,2.03942,50.86191,2.03942,0.6134416,235.9536,5.585859,230.3677,230.3677
P01,2021-03-11 9:39:57 AM,33.40965,,,Controller,1,A,2,7,1,rapid1stPointing,No,bench (UnityEngine.AudioClip),-223.8501,10.75436,22.06597,-7.804039,6.22,-15.4706,350.1436,-1.184601,75.15958,-10.35566,85.01596,9.171061,85.01596,9.171061,0.7817876,
P01,2021-03-11 9:39:59 AM,35.81807,,,Controller,1,A,2,8,2,rapid1stPointing,No,dumpster (UnityEngine.AudioClip),-223.8745,10.75255,22.05693,-7.804039,6.22,-15.4706,350.147,-1.184008,76.24087,-9.205865,86.09384,8.021856,86.09384,8.021856,0.0700043,
P01,2021-03-11 9:40:02 AM,38.47823,,,Controller,1,A,2,9,3,rapid1stPointing,Yes,fountain (UnityEngine.AudioClip),-223.8707,10.7652,22.06013,-7.804039,6.22,-15.4706,350.1461,-1.187328,76.81038,-5.425806,86.66431,4.238478,86.66431,4.238478,0.0132132,
P01,2021-03-11 9:40:09 AM,44.88156,,,Controller,1,A,2,10,1,rapid2ndPointing,No,bench (UnityEngine.AudioClip),-223.8822,10.74758,22.04279,-7.804039,6.22,-15.4706,350.151,-1.182682,74.64987,-4.842745,84.49884,3.660063,84.49884,3.660063,0.0418981,
